num,ms,up,down,left,right
233,807,7,2,0,4
234,807,4,4,2,4
235,807,4,1,4,5
236,807,6,2,0,3
237,807,6,4,2,4
238,807,1,1,4,7
239,807,7,0,3,8
240,807,1,0,1,4
241,807,8,4,4,8
242,807,6,2,4,6
243,807,9,4,1,4
244,807,6,0,7,10
245,807,3,0,2,3
246,807,3,0,4,8
247,807,10,4,3,6
248,807,4,0,3,6
249,807,5,3,0,4
250,807,3,0,4,8
251,807,7,5,3,5
252,807,6,3,4,7
253,807,8,5,2,5
254,807,4,1,0,4
255,884,6,4,3,7
256,884,6,1,4,8
257,884,6,4,3,6
258,884,3,1,2,5
259,884,4,0,3,4
260,884,6,1,1,3
261,884,4,1,3,7
262,884,8,4,4,8
263,884,5,2,1,4
264,884,6,4,5,7
265,884,5,2,1,4
266,884,4,0,4,7
267,884,4,0,1,4
268,884,3,2,3,7
269,884,4,0,2,4
270,884,3,0,2,5
271,884,11,4,2,4
272,884,7,4,3,4
273,884,6,4,0,3
274,884,4,2,1,4
275,884,11,6,5,6
276,884,4,1,4,7
277,884,6,3,4,8
278,884,3,1,0,2
279,957,6,1,1,5
280,957,5,1,1,5
281,957,5,3,0,4
282,957,5,1,3,5
283,957,4,2,3,6
284,957,4,2,3,6
285,957,3,1,4,5
286,957,7,4,2,6
287,957,2,0,4,6
288,957,10,7,0,2
289,957,4,1,2,5
290,957,3,0,4,6
291,957,5,4,6,11
292,957,4,1,0,3
293,957,7,5,0,3
294,957,8,4,8,11
295,957,6,3,0,4
296,957,8,3,4,6
297,957,3,2,2,7
298,957,8,4,3,4
299,957,4,2,4,8
300,957,6,2,3,6
301,957,7,4,4,4
302,1033,9,4,0,0
303,1033,2,0,2,5
304,1033,4,1,2,5
305,1033,6,1,3,4
306,1033,4,0,4,5
307,1033,8,3,1,4
308,1033,6,3,2,4
309,1033,6,4,4,6
310,1033,7,3,3,4
311,1033,4,0,5,8
312,1033,4,0,3,6
313,1033,4,2,2,4
