num,ms,up,down,left,right
1,7,4,2,2,6
2,7,5,0,2,4
3,7,4,3,2,4
4,7,4,0,3,5
5,7,6,1,0,2
6,7,6,3,2,5
7,7,3,0,1,4
8,7,4,3,3,5
9,7,6,3,0,4
10,7,6,2,0,4
11,7,5,0,3,5
12,26,6,0,0,4
13,26,4,1,1,5
14,26,5,0,3,5
15,26,4,2,1,3
16,26,4,3,3,5
17,26,5,0,0,4
18,42,5,1,6,7
19,42,3,0,4,5
20,42,8,4,0,4
21,42,7,0,0,5
22,42,8,4,1,8
23,57,2,0,3,6
24,57,5,2,0,6
25,57,5,1,1,4
26,57,5,3,2,5
27,57,3,0,3,6
28,73,4,0,0,3
29,73,4,0,1,4
30,73,5,3,2,4
31,73,5,3,2,5
32,73,4,1,1,4
33,88,6,3,1,5
34,88,6,0,4,7
35,88,4,0,3,4
36,88,4,1,0,3
37,88,6,2,0,3
38,103,4,1,3,7
39,103,5,2,1,5
40,103,3,0,0,3
41,103,7,3,1,4
42,118,6,1,3,5
43,118,7,4,3,6
44,118,5,2,1,3
45,118,4,1,2,3
46,118,6,2,2,5
47,134,3,2,1,5
48,134,5,1,0,5
49,134,3,1,2,3
50,134,4,1,2,5
51,134,5,3,3,5
52,149,6,0,2,4
53,149,5,1,2,5
54,149,5,2,3,6
55,149,5,3,3,6
56,149,5,3,3,4
57,165,5,1,4,9
58,165,4,2,1,6
59,165,3,1,2,4
60,165,4,0,0,3
61,165,6,0,0,1
62,180,2,0,0,5
63,180,4,1,2,4
64,180,4,1,3,5
65,180,4,0,4,4
66,180,3,0,0,4
67,195,4,0,3,7
68,195,5,2,1,3
69,195,4,3,1,4
70,195,4,1,1,6
71,210,4,0,3,6
72,210,5,2,2,4
73,210,4,0,3,6
74,210,4,2,0,3
75,210,5,3,3,4
76,225,5,2,2,5
77,225,4,3,1,4
78,225,5,2,1,3
79,225,4,2,2,4
80,225,7,3,1,5
81,241,5,3,4,7
82,241,6,0,0,3
83,241,4,0,0,3
84,241,4,3,0,3
85,241,4,2,3,6
86,257,4,4,0,4
87,257,5,2,2,5
88,257,5,2,1,6
89,257,6,2,0,3
90,257,4,0,0,2
91,272,4,0,0,3
92,272,4,2,2,5
93,272,3,3,1,3
94,272,5,1,4,5
95,272,3,0,0,1
96,288,1,0,1,6
97,288,4,0,2,6
98,288,3,2,3,5
99,288,6,3,1,4
100,288,4,1,2,4
101,302,7,3,2,4
102,302,4,2,4,6
103,302,4,2,4,8
104,302,6,2,1,3
105,317,5,0,2,8
106,317,4,1,0,5
107,317,4,2,1,5
108,317,4,1,1,4
109,317,3,3,2,3
110,333,4,0,3,5
111,333,7,3,3,5
112,333,5,0,2,4
113,333,7,2,0,4
114,333,5,1,0,4
115,348,4,0,1,5
116,348,4,3,2,4
117,348,2,0,2,4
118,348,5,3,0,4
119,348,5,3,1,3
120,363,8,4,1,4
121,363,1,0,3,7
122,363,6,3,1,5
123,363,4,1,0,3
124,378,4,0,1,4
125,378,5,3,1,3
126,378,6,3,2,4
127,378,4,1,2,5
128,378,3,2,3,6
129,394,2,0,2,4
130,394,5,1,2,4
131,394,5,1,2,5
132,394,4,0,1,4
133,394,5,2,1,4
134,409,5,1,4,7
135,409,7,2,1,4
136,409,4,1,3,5
137,409,4,2,2,4
138,409,6,1,1,3
139,425,7,3,3,5
140,425,5,1,3,5
141,425,3,0,1,6
142,425,4,2,3,5
143,425,7,1,0,3
144,440,4,0,2,6
145,440,4,2,2,7
146,440,7,3,3,5
147,440,4,1,0,3
148,440,7,3,0,3
149,456,5,0,0,7
150,456,4,0,1,3
151,456,5,3,1,3
152,456,4,0,2,3
153,456,6,2,2,4
154,471,4,0,4,8
155,471,5,1,1,6
156,471,6,3,2,6
157,471,5,0,2,3
158,486,6,1,0,4
159,486,5,4,0,5
160,486,4,3,2,5
161,486,5,3,3,5
162,486,6,4,3,4
163,502,7,2,3,7
164,502,4,3,1,4
165,502,5,2,0,4
166,502,5,2,0,4
167,502,5,1,0,2
168,517,11,5,0,4
169,517,6,2,1,5
170,517,4,1,2,4
171,517,4,1,2,4
172,517,6,2,3,4
173,533,6,4,3,9
174,533,4,2,0,4
175,533,4,1,1,6
176,533,4,1,0,3
177,533,4,1,3,3
178,549,6,5,4,6
179,549,7,2,0,3
