num,ms,up,down,left,right
1,226,14,0,5,7
2,226,4,1,3,4
3,226,5,3,3,5
4,226,5,2,0,4
5,226,4,0,0,5
6,226,7,3,0,4
7,226,4,1,3,7
8,226,8,3,3,6
9,226,7,2,2,4
10,226,4,2,2,4
11,226,6,1,3,5
12,226,6,2,3,5
13,226,8,4,1,6
14,226,5,3,3,3
15,226,5,3,2,6
16,226,5,3,1,4
17,226,5,4,1,4
18,226,5,1,2,5
19,226,5,1,1,3
20,226,4,0,1,6
21,226,5,2,1,5
22,226,6,2,0,4
23,226,5,1,0,4
24,226,6,3,3,6
25,226,4,3,1,4
26,226,4,1,2,4
27,226,5,2,3,8
28,226,2,0,3,4
29,226,6,2,0,2
30,226,5,3,4,7
31,226,3,0,7,10
32,226,6,3,2,5
33,226,7,4,1,4
34,226,4,2,0,4
35,226,7,3,1,3
36,226,6,3,3,4
37,226,4,1,5,10
38,226,5,3,4,4
39,226,8,4,0,1
40,226,4,1,3,7
41,226,7,4,0,3
42,226,5,2,3,6
43,226,2,0,5,9
44,226,7,5,2,9
45,226,7,3,4,7
46,226,5,4,3,6
47,226,7,3,4,4
48,226,4,1,2,7
49,226,6,2,2,3
50,226,4,3,1,4
51,226,5,4,0,3
52,226,5,0,3,4
53,226,4,2,0,1
54,226,4,2,3,4
55,226,5,4,5,6
56,226,7,3,1,6
57,226,4,0,1,5
58,226,5,1,4,8
59,226,3,0,4,4
60,226,8,5,0,3
61,226,4,2,0,3
62,226,10,4,2,4
63,226,9,4,4,6
64,226,6,3,0,4
65,226,5,0,0,6
66,226,8,2,0,1
67,226,9,5,4,5
68,226,6,4,0,2
69,226,7,3,2,5
70,226,7,2,0,3
71,226,4,1,1,4
72,226,2,0,3,5
73,226,7,4,2,6
74,226,4,0,0,3
75,226,6,4,2,5
76,226,6,4,3,5
77,226,4,0,0,3
78,226,4,1,0,1
79,226,4,0,1,4
80,226,4,4,0,4
81,226,8,3,0,5
82,226,2,0,3,8
83,226,4,0,4,5
84,226,6,4,1,4
85,226,6,4,2,7
86,226,8,5,1,2
87,226,4,0,1,6
88,226,4,2,0,3
89,226,6,4,2,3
90,226,4,2,3,8
91,226,6,4,3,4
92,226,7,2,4,6
93,226,4,1,2,4
94,226,5,0,0,3
95,226,4,4,5,8
96,226,3,3,0,3
97,397,7,5,0,4
98,397,4,1,4,5
99,397,5,2,2,5
100,397,4,0,3,5
101,397,5,2,2,5
102,397,4,2,3,6
103,397,4,2,4,8
104,397,4,2,1,5
105,397,8,1,4,4
106,397,5,1,1,5
107,397,6,3,1,5
108,397,4,3,1,4
109,397,7,0,3,8
110,397,4,1,2,5
111,397,6,3,2,6
112,397,7,3,2,7
113,397,7,3,3,6
114,397,2,1,1,4
115,397,4,2,4,8
116,397,2,0,0,2
117,397,7,4,0,4
118,397,4,3,3,5
119,397,7,4,0,2
120,397,4,0,0,4
121,397,1,0,4,7
122,397,2,0,4,8
123,397,6,4,1,4
124,397,9,2,3,8
125,397,6,3,4,7
126,397,3,0,1,4
127,397,1,0,4,7
128,397,7,2,1,5
129,397,7,2,2,6
130,397,6,2,5,10
131,397,7,3,1,4
132,397,7,3,5,10
133,397,5,0,2,4
134,397,8,5,2,4
135,397,5,1,0,3
136,397,4,1,0,2
137,397,6,2,7,11
138,397,1,0,6,8
139,397,10,6,0,3
140,397,8,2,0,4
141,397,3,0,3,4
142,397,6,2,3,8
143,397,5,2,4,7
144,397,5,3,0,4
145,397,8,6,5,8
146,397,4,0,2,4
147,397,10,6,0,4
148,397,7,2,0,4
149,397,4,2,0,5
150,397,3,0,0,1
151,514,6,2,0,2
152,514,5,2,3,7
153,514,5,2,1,4
154,514,4,0,1,4
155,514,4,0,0,3
156,514,5,1,0,3
157,514,8,2,0,4
158,514,4,1,2,7
159,514,6,3,4,3
160,514,4,1,2,6
161,514,4,0,2,7
162,514,10,4,0,3
163,514,4,4,4,8
164,514,8,0,5,8
165,514,6,2,2,4
166,514,4,0,0,4
167,514,4,1,3,7
168,514,7,3,3,5
169,514,4,0,2,6
170,514,4,0,1,4
171,514,8,2,3,5
172,514,5,0,3,7
173,514,7,5,0,4
174,514,5,0,0,4
175,514,3,0,6,7
176,514,2,0,2,5
177,514,5,3,1,4
178,514,0,0,0,4
179,514,8,4,5,8
180,514,4,1,3,7
181,514,9,5,3,9
182,514,5,0,0,4
183,514,5,4,0,2
184,514,8,4,4,6
185,514,5,2,5,10
186,514,4,1,1,5
187,514,9,4,3,6
188,606,8,3,1,4
189,606,5,0,3,6
190,606,4,4,1,3
191,606,4,1,1,7
192,606,5,0,3,7
193,606,4,2,1,4
194,606,4,1,0,6
195,606,4,1,0,5
196,606,4,0,1,4
197,606,3,0,1,4
198,606,6,2,0,4
199,606,4,4,3,7
200,606,4,3,1,6
201,606,4,1,0,4
202,606,4,1,2,5
203,606,7,3,0,3
204,606,4,1,4,6
205,606,6,2,0,1
206,606,6,4,0,4
207,606,6,0,5,5
208,606,3,0,3,5
209,606,3,0,5,9
210,606,6,1,4,6
211,606,7,3,7,9
212,606,4,0,0,3
213,606,10,7,6,8
214,606,8,3,1,4
215,606,6,2,4,6
216,606,9,5,0,5
217,691,10,4,0,2
218,691,4,1,3,7
219,691,4,0,1,5
220,691,4,0,1,4
221,691,5,3,0,5
222,691,4,2,1,3
223,691,5,2,2,3
224,691,4,1,2,4
225,691,4,1,4,9
226,691,4,0,3,4
227,691,6,3,4,7
228,691,5,2,4,5
229,691,4,0,0,2
230,691,9,4,0,4
231,691,3,2,3,6
232,691,7,3,5,6
233,691,6,2,2,4
234,691,6,2,2,4
235,691,9,3,3,6
236,691,2,0,1,5
237,691,4,0,3,6
238,691,3,0,4,9
239,691,9,4,0,4
240,691,6,2,7,10
241,691,6,1,0,4
242,691,6,1,2,5
243,691,6,3,1,5
244,768,5,1,1,4
245,768,4,2,2,4
246,768,7,2,2,5
247,768,7,3,5,6
248,768,5,0,1,5
249,768,7,3,0,4
250,768,5,3,1,6
251,768,3,0,4,5
252,768,3,1,0,4
253,768,5,0,2,5
254,768,1,0,0,4
255,768,6,0,4,8
256,768,5,1,0,3
257,768,4,0,0,0
258,768,4,4,1,4
259,768,7,4,0,4
260,768,3,1,0,3
261,768,4,4,3,7
262,768,6,2,2,4
263,768,4,0,5,7
264,768,7,2,2,6
265,768,7,3,1,4
266,768,2,0,0,2
267,768,10,7,4,7
268,843,3,0,3,7
269,843,5,2,0,3
270,843,5,1,3,5
271,843,7,1,4,5
272,843,8,3,3,5
273,843,5,0,2,4
274,843,6,1,2,4
275,843,5,3,4,6
276,843,7,3,1,4
277,843,2,0,0,5
278,843,7,4,0,4
279,843,7,1,0,3
280,843,8,4,3,4
281,843,6,3,0,1
282,843,5,4,0,2
283,843,6,4,7,9
284,843,7,4,2,4
285,843,6,3,0,5
286,843,7,3,3,5
287,843,6,2,4,7
288,843,4,1,0,4
289,843,7,5,3,5
290,843,4,1,1,4
291,843,11,4,0,3
292,917,3,1,5,9
293,917,4,3,0,3
294,917,4,1,0,5
295,917,5,1,0,6
296,917,6,3,0,5
297,917,4,1,2,3
298,917,6,1,1,4
299,917,8,4,1,5
300,917,10,4,0,3
301,917,7,3,4,4
302,917,3,0,8,12
303,917,5,0,1,4
304,917,5,4,3,5
305,917,5,0,4,7
306,917,8,5,1,4
307,917,8,5,0,1
308,917,4,0,7,9
309,917,1,0,4,8
310,917,4,0,3,8
311,917,4,1,0,6
312,917,4,0,3,5
313,917,5,3,2,5
314,917,3,0,3,4
315,990,7,4,0,1
316,990,6,0,3,4
317,990,4,1,4,6
318,990,4,3,1,3
319,990,4,0,2,4
320,990,2,0,1,4
321,990,4,2,2,7
322,990,3,0,0,3
323,990,4,0,3,5
324,990,10,8,4,6
325,990,2,0,4,7
326,990,6,0,3,8
327,990,4,1,2,5
328,990,7,4,0,2
329,990,5,3,2,5
330,990,6,3,3,5
331,990,7,8,0,4
332,990,5,2,0,4
333,990,8,5,0,3
334,990,4,0,1,3
335,990,4,0,0,4
336,990,6,3,4,8
337,990,4,2,3,7
338,1063,8,5,2,4
339,1063,4,0,2,5
340,1063,5,3,0,5
341,1063,4,1,0,4
342,1063,5,0,0,1
343,1063,5,4,2,5
344,1063,6,2,3,5
345,1063,8,2,0,2
346,1063,8,4,0,2
347,1063,9,3,3,8
348,1063,4,1,5,8
349,1063,2,0,5,7
350,1063,6,2,1,4
351,1063,5,3,2,5
352,1063,4,0,1,5
353,1063,4,0,3,6
354,1063,3,0,5,8
355,1063,4,1,0,4
356,1063,6,3,3,4
357,1063,2,0,0,4
358,1063,9,6,3,8
359,1063,1,0,2,4
360,1063,4,2,1,4
361,1138,5,2,3,6
362,1138,9,4,0,4
363,1138,6,2,3,4
364,1138,8,2,1,10
365,1138,4,0,0,4
366,1138,4,2,1,4
367,1138,4,1,0,7
368,1138,4,0,2,4
369,1138,10,5,3,4
370,1138,4,0,4,7
371,1138,3,1,4,8
372,1138,5,3,0,4
373,1138,8,5,3,5
374,1138,4,0,2,6
375,1138,7,3,3,6
376,1138,5,3,1,5
377,1138,3,3,1,5
378,1138,6,3,3,7
379,1138,4,1,3,8
380,1138,4,2,3,7
381,1138,4,0,1,4
382,1138,7,3,4,7
383,1138,9,3,1,4
384,1138,4,0,4,4
385,1214,7,4,1,4
386,1214,4,1,2,5
387,1214,7,4,1,4
388,1214,3,0,0,4
389,1214,4,3,3,6
390,1214,4,1,1,4
391,1214,5,2,3,6
392,1214,4,1,1,6
393,1214,5,2,4,5
394,1214,4,0,0,3
395,1214,8,4,0,4
396,1214,9,4,3,4
397,1214,9,5,4,9
398,1214,3,0,3,7
399,1214,1,0,3,7
400,1214,5,0,1,4
401,1214,6,4,0,3
402,1214,4,2,3,5
403,1214,7,4,0,0
404,1214,4,0,1,4
405,1214,3,2,3,5
406,1214,4,0,5,7
407,1214,5,4,2,4
408,1214,4,2,3,5
409,1287,5,3,0,4
410,1287,6,2,3,6
411,1287,4,2,3,5
412,1287,4,2,0,5
413,1287,3,0,2,6
414,1287,4,0,4,6
415,1287,6,3,1,3
416,1287,4,0,0,2
417,1287,6,3,0,4
418,1287,3,0,0,2
419,1287,6,4,0,4
420,1287,8,4,4,7
421,1287,5,2,4,5
422,1287,5,3,1,4
423,1287,4,0,2,4
424,1287,7,3,0,4
425,1287,4,0,6,9
426,1287,4,1,4,9
427,1287,8,5,0,0
428,1287,4,0,4,5
429,1287,3,2,2,4
430,1287,7,4,1,3
431,1287,8,5,3,6
432,1363,4,0,1,4
433,1363,6,2,1,4
434,1363,6,2,3,4
435,1363,7,4,3,5
436,1363,4,2,3,7
437,1363,4,1,1,4
438,1363,4,0,2,4
439,1363,6,3,1,2
440,1363,5,3,3,7
441,1363,11,6,3,6
442,1363,4,0,3,5
443,1363,6,3,0,3
444,1363,5,2,4,10
445,1363,3,0,7,9
446,1363,4,0,3,5
447,1363,4,2,0,1
448,1363,8,3,1,3
449,1363,3,1,3,6
450,1363,9,4,3,5
451,1363,3,1,0,4
452,1363,11,7,2,4
453,1363,8,4,0,0
454,1363,4,0,3,5
455,1363,4,0,3,4
456,1436,4,4,0,3
457,1436,4,1,3,4
458,1436,5,2,0,5
459,1436,5,3,1,5
460,1436,8,0,2,5
461,1436,6,4,1,4
462,1436,6,2,1,4
463,1436,5,0,2,4
464,1436,4,0,2,6
465,1436,4,2,2,4
466,1436,8,4,1,4
467,1436,3,0,2,6
468,1436,2,0,0,4
469,1436,5,1,3,5
470,1436,7,4,4,6
471,1436,6,1,0,2
472,1436,6,3,1,4
473,1436,7,4,4,7
474,1436,2,0,4,8
475,1436,3,0,4,7
476,1436,7,2,0,3
477,1436,10,6,0,3
478,1436,4,0,0,1
479,1512,5,2,2,6
480,1512,7,3,3,5
481,1512,7,2,4,5
482,1512,5,0,0,5
483,1512,6,3,3,4
484,1512,6,3,5,4
485,1512,5,1,2,5
486,1512,5,1,2,6
487,1512,10,9,0,2
488,1512,2,0,6,7
489,1512,5,0,0,6
490,1512,7,1,1,4
491,1512,4,3,4,5
492,1512,7,4,4,7
493,1512,7,1,0,4
494,1512,5,1,4,10
495,1512,9,4,1,6
496,1512,6,1,2,5
497,1512,8,4,2,4
498,1512,4,0,2,4
499,1512,6,3,0,1
500,1512,5,1,3,4
501,1512,3,0,0,5
502,1512,4,0,0,2
503,1588,6,3,0,3
504,1588,3,0,0,4
505,1588,4,1,3,6
506,1588,7,4,1,4
507,1588,5,3,1,5
508,1588,7,2,0,4
509,1588,6,1,1,5
510,1588,4,0,5,8
511,1588,4,0,7,12
512,1588,6,2,0,4
513,1588,9,7,4,7
514,1588,5,2,1,4
515,1588,4,0,5,7
516,1588,5,4,4,8
517,1588,6,2,2,7
518,1588,0,0,2,7
519,1588,5,2,1,4
520,1588,4,0,3,9
521,1588,5,3,2,4
522,1588,4,1,2,5
523,1588,3,0,0,2
524,1588,9,6,0,5
525,1588,6,4,0,3
526,1588,4,0,3,6
527,1667,4,3,2,6
528,1667,7,2,2,5
529,1667,3,1,2,4
530,1667,8,2,2,5
531,1667,7,2,0,3
532,1667,5,1,1,4
533,1667,7,3,3,8
534,1667,5,4,2,7
535,1667,3,0,1,6
536,1667,7,4,0,4
537,1667,6,3,3,7
538,1667,4,0,0,1
539,1667,6,2,4,6
540,1667,5,0,0,2
541,1667,7,1,4,7
542,1667,0,0,2,2
543,1667,6,2,0,3
544,1667,4,0,7,11
545,1667,4,0,0,4
