num,ms,up,down,left,right
1,176,4,0,3,4
2,176,5,3,2,4
3,176,6,4,1,5
4,176,4,0,2,5
5,176,4,3,3,5
6,176,5,1,3,5
7,176,4,3,2,2
8,176,5,1,2,6
9,176,5,1,3,5
10,176,4,2,2,4
11,176,6,1,4,6
12,176,7,2,4,4
13,176,6,3,2,4
14,176,4,3,0,4
15,176,7,4,5,4
16,176,6,3,1,4
17,176,4,1,3,7
18,176,6,1,2,4
19,176,5,4,0,4
20,176,4,1,1,5
21,176,4,0,2,6
22,176,4,1,3,4
23,176,5,2,2,5
24,176,5,3,0,4
25,176,4,2,0,4
26,176,5,0,1,5
27,176,9,5,0,3
28,176,4,3,4,8
29,176,6,2,1,3
30,176,4,0,2,3
31,176,6,3,3,7
32,176,7,4,3,4
33,176,4,2,3,3
34,176,4,1,3,6
35,176,0,0,3,4
36,176,4,0,6,11
37,176,7,3,3,6
38,176,0,0,0,4
39,176,8,2,0,3
40,176,4,1,0,3
41,176,3,1,0,3
42,176,6,4,3,4
43,176,7,1,0,4
44,176,5,2,0,3
45,176,4,0,6,10
46,176,3,1,1,5
47,176,3,0,4,5
48,176,2,0,6,8
49,176,7,4,7,7
50,176,6,2,3,10
51,176,4,2,3,4
52,176,9,4,2,5
53,176,5,2,3,5
54,176,4,0,3,8
55,176,4,0,3,5
56,176,0,0,2,5
57,176,4,0,0,3
58,176,11,7,0,2
59,176,7,4,4,6
60,176,8,4,1,3
61,176,5,3,2,8
62,176,5,3,0,3
63,176,4,1,0,4
64,176,2,0,0,4
65,176,4,0,3,8
66,176,5,3,3,4
67,176,2,0,3,8
68,176,4,5,6,9
69,176,11,8,0,4
70,176,5,4,6,9
71,176,9,4,2,6
72,176,4,0,3,8
73,176,4,0,4,8
74,176,8,6,6,11
75,176,6,0,0,4
76,176,4,0,3,4
77,176,7,3,0,2
78,176,1,0,3,4
79,176,6,3,0,2
80,176,7,1,0,2
81,221,6,2,1,4
82,221,4,1,4,7
83,221,6,1,2,7
84,221,6,2,3,6
85,221,6,1,3,7
86,221,5,2,0,4
87,221,2,0,3,7
88,221,3,0,2,4
89,221,0,0,2,4
90,221,11,5,0,4
91,221,5,0,0,2
92,221,2,0,1,4
93,221,4,0,0,5
94,221,7,4,6,10
95,258,5,0,3,4
96,258,4,0,0,5
97,258,5,3,0,4
98,258,4,1,2,5
99,258,4,1,0,4
100,258,5,0,4,9
101,258,5,2,4,7
102,258,4,2,0,4
103,258,5,3,2,4
104,258,4,4,7,10
105,258,4,1,6,9
106,258,6,2,4,8
107,296,5,0,4,6
108,296,5,0,3,5
109,296,7,2,1,4
110,296,4,0,0,5
111,296,5,1,1,5
112,296,5,2,0,4
113,296,1,0,4,6
114,296,4,0,4,5
115,296,5,2,6,11
116,296,4,2,4,8
117,296,4,0,4,7
118,296,4,1,5,9
119,331,4,3,0,4
120,331,5,2,3,8
121,331,4,2,3,3
122,331,6,4,2,4
123,331,6,1,2,5
124,331,4,1,2,4
125,331,4,0,4,8
126,331,4,1,4,6
127,331,7,3,3,6
128,331,3,0,0,3
129,331,5,3,3,7
130,369,4,0,4,6
131,369,3,2,0,4
132,369,3,0,3,5
133,369,4,2,3,4
134,369,5,3,1,5
135,369,4,2,3,4
136,369,2,0,4,8
137,369,5,0,6,9
138,369,4,2,2,4
139,369,3,3,4,7
140,369,11,6,0,2
141,369,4,0,3,6
142,404,9,4,0,5
143,404,4,0,2,6
144,404,5,0,1,3
145,404,4,0,3,5
146,404,4,0,1,4
147,404,4,0,3,6
148,404,5,1,4,7
149,404,3,0,0,3
150,404,9,4,3,5
151,404,2,0,3,4
152,404,2,0,3,5
153,441,3,0,0,4
154,441,6,0,4,4
155,441,4,1,0,4
156,441,5,0,3,6
157,441,5,2,2,5
158,441,1,0,0,4
159,441,4,2,5,8
160,441,6,3,3,7
161,441,3,2,3,6
162,441,4,0,4,9
163,441,3,1,4,5
164,441,7,1,7,11
165,477,4,0,2,6
166,477,6,1,4,7
167,477,4,2,1,6
168,477,4,2,0,2
169,477,5,2,0,3
170,477,6,2,4,5
171,477,4,2,0,1
172,477,4,3,0,3
173,477,4,1,6,10
174,477,8,3,0,4
175,477,4,1,5,8
176,515,5,0,7,9
177,515,4,0,1,4
178,515,4,1,3,3
179,515,3,1,3,5
180,515,7,4,0,0
181,515,5,2,4,5
182,515,6,3,0,1
183,515,3,0,2,6
184,515,2,0,4,8
185,515,0,0,8,10
186,515,7,3,0,4
187,515,5,0,3,6
188,552,4,0,2,5
189,552,4,4,1,6
190,552,3,1,1,6
191,552,4,0,2,7
192,552,6,1,1,4
193,552,8,3,0,4
194,552,5,4,0,4
195,552,4,2,0,0
196,552,6,4,0,1
197,552,5,1,0,3
198,552,7,3,0,4
199,552,6,1,7,11
200,588,2,0,3,6
201,588,7,2,2,3
202,588,4,1,3,6
203,588,4,3,0,3
204,588,6,3,1,3
205,588,8,4,0,3
206,588,7,2,0,3
207,588,8,4,3,7
