num,ms,up,down,left,right
1,22,7,1,3,7
2,22,5,0,1,5
3,22,7,2,3,5
4,22,4,0,2,6
5,22,5,1,0,3
6,22,6,2,3,5
7,22,4,4,1,4
8,22,5,3,0,3
9,22,4,0,2,4
10,22,5,0,2,5
11,22,7,3,0,4
12,22,9,4,2,6
13,22,5,2,3,4
14,22,4,1,3,6
15,22,6,1,1,4
16,22,3,0,2,5
17,22,4,2,4,4
18,22,5,2,3,4
19,22,3,1,1,3
20,22,4,0,2,3
21,22,6,3,0,4
22,22,3,2,0,4
23,22,4,1,3,5
24,22,7,3,2,4
25,22,4,0,1,5
26,22,3,0,0,4
27,47,6,2,1,3
28,47,6,1,1,4
29,47,4,1,1,4
30,47,3,1,1,4
31,47,6,3,1,5
32,47,5,2,2,4
33,47,5,4,2,4
34,47,4,2,2,4
35,63,6,2,1,5
36,63,6,4,4,8
37,63,6,4,3,5
38,63,7,3,3,4
39,63,6,3,1,4
40,77,8,2,4,7
41,77,4,1,1,4
42,77,3,0,2,5
43,77,5,4,3,9
44,77,6,3,2,3
45,93,10,4,0,4
46,93,6,0,3,5
47,93,5,3,0,3
48,93,4,0,2,6
49,93,4,2,3,7
50,108,4,2,2,6
51,108,6,3,0,3
52,108,6,0,4,8
53,108,5,3,3,6
54,108,5,2,4,7
55,124,5,3,1,4
56,124,3,1,1,4
57,124,5,2,2,6
58,124,4,0,1,4
59,124,5,2,3,5
60,139,7,5,0,3
61,139,5,0,3,8
62,139,8,1,3,4
63,139,4,1,2,3
64,154,4,1,0,2
65,154,3,0,2,4
66,154,6,2,3,4
67,154,5,3,2,5
68,154,3,0,3,6
69,169,4,2,0,5
70,169,4,2,0,4
71,169,4,3,1,6
72,169,6,2,1,8
73,169,6,0,2,4
74,185,3,1,2,4
75,185,8,2,0,4
76,185,4,2,2,5
77,185,5,1,2,7
78,185,4,2,3,5
79,201,7,1,0,4
80,201,5,3,2,4
81,201,5,4,2,4
82,201,5,0,2,6
83,201,6,3,4,3
84,216,5,2,0,4
85,216,3,2,0,5
86,216,5,0,2,4
87,216,7,3,0,4
88,216,5,2,1,4
89,232,7,4,4,6
90,232,5,0,2,4
91,232,5,0,1,4
92,232,5,2,0,5
93,232,6,4,6,10
94,246,4,0,1,5
95,246,4,3,3,6
96,246,4,2,1,7
97,246,6,3,2,5
98,262,7,3,4,7
99,262,7,3,4,6
100,262,7,3,1,4
101,262,7,0,3,6
102,262,5,0,4,5
103,277,10,5,5,9
104,277,7,3,0,3
105,277,4,0,3,7
106,277,5,3,2,4
107,277,4,3,4,8
108,293,9,4,0,4
109,293,6,2,0,3
110,293,7,3,0,4
111,293,5,2,0,3
112,293,6,1,2,4
113,308,3,0,0,4
114,308,6,0,1,4
115,308,3,2,2,4
116,308,5,1,0,4
117,308,4,2,1,4
118,324,4,0,0,5
119,324,7,2,2,3
120,324,2,2,0,3
121,324,7,3,0,4
122,324,4,1,2,7
123,340,6,2,0,4
124,340,6,2,3,4
125,340,4,1,0,5
126,340,4,0,0,5
127,340,5,1,1,4
128,354,2,0,3,4
129,354,6,1,0,5
130,354,4,2,2,5
131,354,4,3,1,4
132,369,7,4,1,4
133,369,5,2,3,3
134,369,5,2,2,3
135,369,4,1,2,5
136,369,4,0,0,4
137,385,4,3,3,7
138,385,5,0,3,5
139,385,4,1,0,3
140,385,4,1,2,6
141,385,3,2,2,3
142,401,5,0,1,3
143,401,4,4,2,6
144,401,4,2,0,4
145,401,4,2,3,5
146,401,5,1,3,5
147,416,4,1,3,5
148,416,6,1,1,5
149,416,5,1,0,5
150,416,6,3,2,5
151,416,5,0,1,4
152,432,5,3,4,7
153,432,7,3,2,5
154,432,4,1,2,5
155,432,4,3,3,6
156,432,4,1,0,5
157,447,4,1,0,5
158,447,4,0,2,7
159,447,4,0,3,6
160,447,5,2,2,6
161,447,4,2,0,3
162,462,5,0,4,6
163,462,6,2,3,3
164,462,4,2,3,4
165,462,6,2,3,4
166,477,4,1,2,5
167,477,4,0,2,6
168,477,4,0,3,5
169,477,4,0,1,3
170,477,3,2,2,5
171,493,5,3,0,1
172,493,3,1,2,5
173,493,6,4,3,6
174,493,4,0,2,5
175,493,6,3,0,4
176,508,3,1,1,3
177,508,4,1,3,6
178,508,6,2,1,4
179,508,6,3,1,4
180,508,5,2,0,5
181,524,6,1,2,7
182,524,5,2,1,6
183,524,4,0,2,7
184,524,5,1,1,5
185,524,7,3,4,6
186,540,6,3,2,6
187,540,4,0,1,5
188,540,7,4,3,4
189,540,4,2,0,3
190,540,6,2,0,0
191,554,6,2,3,5
192,554,8,0,3,6
193,554,4,1,1,4
194,554,9,3,4,4
195,569,4,0,0,2
196,569,6,2,1,4
197,569,8,3,2,4
198,569,5,2,1,4
199,569,4,0,1,2
200,585,7,1,1,4
201,585,7,3,0,4
202,585,7,3,3,5
203,585,6,2,2,5
204,585,4,1,2,5
205,600,5,2,0,1
206,600,5,2,3,6
207,600,4,0,2,2
208,600,5,0,3,8
209,600,4,2,0,5
210,616,4,4,2,5
211,616,5,3,0,4
212,616,4,0,0,3
213,616,7,2,2,4
214,616,3,1,0,2
215,632,5,2,1,2
216,632,5,2,2,7
217,632,4,0,2,5
218,632,6,2,0,5
219,632,3,4,5,8
220,646,4,3,1,4
221,646,5,0,2,5
222,646,6,2,1,4
223,646,5,2,1,4
224,661,5,1,3,7
225,661,4,2,0,4
226,661,4,0,0,3
227,661,6,2,1,4
228,661,4,0,1,4
229,677,5,1,0,1
230,677,4,0,2,3
231,677,7,3,3,8
232,677,4,0,3,6
233,677,6,2,3,5
234,692,3,0,3,7
235,692,5,3,1,5
236,692,4,2,2,5
237,692,5,2,3,5
238,692,7,2,1,4
239,708,7,3,3,7
240,708,4,1,0,3
241,708,6,3,4,8
242,708,6,2,0,4
243,708,5,0,0,4
244,724,6,0,3,4
245,724,5,0,0,5
246,724,4,1,1,3
247,724,6,2,2,3
248,724,6,1,4,5
249,739,4,0,1,4
250,739,5,0,1,4
251,739,5,1,1,3
252,739,5,2,0,4
253,739,7,1,0,4
254,755,4,0,3,6
255,755,5,3,0,5
256,755,8,3,1,4
257,755,6,1,1,3
258,755,4,3,2,7
259,771,4,0,3,8
260,771,5,2,3,6
261,771,4,2,3,6
262,771,4,1,3,3
263,771,4,0,1,4
264,787,4,0,1,4
265,787,4,1,2,4
266,787,7,1,1,5
267,787,4,1,3,4
268,787,4,1,0,5
269,801,4,1,0,4
270,801,4,1,3,4
271,801,4,0,0,3
272,801,6,3,3,4
273,816,5,1,5,7
274,816,6,3,1,7
275,816,4,0,1,5
276,816,6,0,2,4
277,816,3,1,3,7
278,832,2,2,0,3
279,832,4,1,0,4
280,832,5,4,2,4
281,832,5,1,2,3
282,832,4,0,6,5
283,847,6,2,0,1
284,847,6,1,0,6
285,847,3,1,0,4
286,847,6,2,3,4
287,847,5,3,0,4
288,863,5,3,2,5
289,863,5,2,3,6
290,863,4,0,2,5
291,863,6,2,4,6
292,863,6,4,3,6
293,877,7,4,1,5
294,877,3,3,1,4
295,877,7,3,0,4
296,877,5,3,1,4
297,893,5,3,0,2
298,893,6,2,0,4
299,893,4,3,0,6
300,893,5,4,0,4
301,893,5,2,4,6
302,908,3,0,2,7
303,908,4,1,2,4
304,908,3,1,4,6
305,908,8,2,1,3
306,908,4,1,1,4
307,924,6,3,0,2
308,924,5,1,1,4
309,924,7,3,4,4
310,924,4,0,0,3
311,924,6,2,3,5
312,940,7,2,0,1
313,940,4,2,1,4
314,940,6,1,0,4
315,940,6,1,0,3
316,940,4,3,2,9
317,955,4,4,1,4
318,955,4,3,3,5
319,955,5,1,1,2
320,955,5,2,3,3
321,955,3,0,4,8
322,971,3,1,0,4
323,971,6,1,3,5
324,971,5,4,3,6
325,971,4,0,3,4
326,971,6,2,0,3
327,987,9,4,2,4
328,987,4,0,2,5
329,987,6,4,1,4
330,987,5,1,2,4
331,987,5,3,0,3
332,1001,6,1,2,4
333,1001,4,2,3,4
334,1001,7,2,1,4
335,1001,6,3,3,5
336,1016,5,1,1,5
337,1016,6,4,1,4
338,1016,3,4,1,5
339,1016,4,2,3,3
340,1016,5,1,1,5
341,1032,6,1,0,4
342,1032,3,0,3,5
343,1032,3,0,0,3
344,1032,6,1,0,4
345,1032,8,2,1,4
346,1048,4,1,3,4
347,1048,6,0,0,5
348,1048,4,0,4,4
349,1048,6,1,2,3
350,1048,5,2,3,5
351,1063,4,0,2,3
352,1063,4,0,2,6
353,1063,4,0,0,4
